FID,OBJECTID,NAMOBJ,LUASWH,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,Shape
376,92570,Ungasan,1552.114122,1,Kuta Selatan,Ungasan,Badung,Bali,Polygon ZM
377,92571,Unggahan,1424.769271,1,Seririt,Unggahan,Buleleng,Bali,Polygon ZM
378,92572,Wanagiri,1474.196701,1,Selemadeg,Wanagiri,Tabanan,Bali,Polygon ZM
379,92573,Wanagiri,1675.836022,1,Sukasada,Wanagiri,Buleleng,Bali,Polygon ZM
380,92574,Wanagiri Kauh,1011.371342,1,Selemadeg,Wanagiri Kauh,Tabanan,Bali,Polygon ZM
381,92583,Tangguntiti,493.8302859,1,Selemadeg Timur,Tangguntiti,Tabanan,Bali,Polygon ZM
382,92584,Tangguwisia,213.4967826,1,Seririt,Tangguwisia,Buleleng,Bali,Polygon ZM
383,92585,Tangkas,247.6709228,1,Klungkung,Tangkas,Klungkung,Bali,Polygon ZM
384,92586,Tanglad,1742.79241,1,Nusa Penida,Tanglad,Klungkung,Bali,Polygon ZM
385,92587,Tanjung Benoa,134.7909905,2,Kuta Selatan,Tanjung Benoa,Badung,Bali,Polygon ZM
386,92588,Taro,2056.675833,1,Tegallalang,Taro,Gianyar,Bali,Polygon ZM
387,92589,Tegak,198.2389492,1,Klungkung,Tegak,Klungkung,Bali,Polygon ZM
388,92590,Tegal Badeng Barat,320.7745445,1,Negara,Tegal Badeng Barat,Jembrana,Bali,Polygon ZM
389,92591,Wanasari,459.1348691,1,Tabanan,Wanasari,Tabanan,Bali,Polygon ZM
390,92592,Warnasari,532.3676243,1,Melaya,Warnasari,Jembrana,Bali,Polygon ZM
391,92598,Tegal Badeng Timur,312.4258215,1,Negara,Tegal Badeng Timur,Jembrana,Bali,Polygon ZM
392,92599,Tegal Harum,82.61248039,1,Denpasar Barat,Tegal Harum,Kota Denpasar,Bali,Polygon ZM
393,92600,Tegal Kertha,95.93366057,1,Denpasar Barat,Tegal Kertha,Kota Denpasar,Bali,Polygon ZM
394,92601,Werdi Bhuwana,339.4233098,1,Mengwi,Werdi Bhuwana,Badung,Bali,Polygon ZM
395,92602,Wisma Kerta,375.7284237,1,Sidemen,Wisma Kerta,Karangasem,Bali,Polygon ZM
396,92603,Wongaya Gede,1699.062826,1,Penebel,Wongaya Gede,Tabanan,Bali,Polygon ZM
397,92604,Yangapi,1514.842839,1,Tembuku,Yangapi,Bangli,Bali,Polygon ZM
398,92611,Tegal Mengkeb,635.8700293,1,Selemadeg Timur,Tegal Mengkeb,Tabanan,Bali,Polygon ZM
399,92612,Tegal Tugu,197.9381799,1,Gianyar,Tegal Tugu,Gianyar,Bali,Polygon ZM
400,92613,Tegalcangkring,1991.282676,2,Mendoyo,Tegalcangkring,Jembrana,Bali,Polygon ZM
401,92614,Yeh Sumbul,1577.019028,1,Mendoyo,Yeh Sumbul,Jembrana,Bali,Polygon ZM
402,92615,Yehembang,3731.622033,1,Mendoyo,Yehembang,Jembrana,Bali,Polygon ZM
403,92616,Yehembang Kangin,4019.418349,1,Mendoyo,Yehembang Kangin,Jembrana,Bali,Polygon ZM
404,92617,Yehembang Kauh,7770.727586,1,Mendoyo,Yehembang Kauh,Jembrana,Bali,Polygon ZM
405,92618,Yehkuning,241.2376748,1,Jembrana,Yehkuning,Jembrana,Bali,Polygon ZM
406,92619,Gilimanuk,2086.084105,2,Melaya,Gilimanuk,Jembrana,Bali,Polygon ZM
407,92620,Sumberkima,1969.940499,1,Gerokgak,Sumberkima,Buleleng,Bali,Polygon ZM
408,92621,Bongancina,529.34258,1,Busungbiu,Bongancina,Buleleng,Bali,Polygon ZM
409,92622,Bantiran,1176.495103,1,Pupuan,Bantiran,Tabanan,Bali,Polygon ZM
410,92631,Tegalinggah,251.9508514,1,Karangasem,Tegalinggah,Karangasem,Bali,Polygon ZM
411,92632,Tegaljadi,260.5338578,1,Marga,Tegaljadi,Tabanan,Bali,Polygon ZM
412,92633,Tegallalang,726.3364245,1,Tegallalang,Tegallalang,Gianyar,Bali,Polygon ZM
413,92643,Tegallinggah,287.7371581,1,Penebel,Tegallinggah,Tabanan,Bali,Polygon ZM
414,92644,Tegallinggah,938.1516436,1,Sukasada,Tegallinggah,Buleleng,Bali,Polygon ZM
415,92645,Tejakula,1386.218649,1,Tejakula,Tejakula,Buleleng,Bali,Polygon ZM
416,92655,Telaga,389.2887023,1,Busungbiu,Telaga,Buleleng,Bali,Polygon ZM
417,92656,Telagatawang,347.6909074,1,Sidemen,Telagatawang,Karangasem,Bali,Polygon ZM
418,92657,Tembok,971.9720133,1,Tejakula,Tembok,Buleleng,Bali,Polygon ZM
419,92658,Tembuku,607.1091505,1,Tembuku,Tembuku,Bangli,Bali,Polygon ZM
420,92665,Temesi,351.4521147,1,Gianyar,Temesi,Gianyar,Bali,Polygon ZM
421,92666,Temukus,432.332627,1,Banjar,Temukus,Buleleng,Bali,Polygon ZM
422,92667,Tenganan,1190.59034,1,Manggis,Tenganan,Karangasem,Bali,Polygon ZM
423,92668,Tengkudak,526.027869,1,Penebel,Tengkudak,Tabanan,Bali,Polygon ZM
424,92669,Terunyan,1397.774427,1,Kintamani,Terunyan,Bangli,Bali,Polygon ZM
425,92670,Tianyar Barat,1545.834426,1,Kubu,Tianyar Barat,Karangasem,Bali,Polygon ZM
426,92683,Tianyar Tengah,1296.560836,1,Kubu,Tianyar Tengah,Karangasem,Bali,Polygon ZM
427,92684,Tibubeneng,684.6113927,1,Kuta Utara,Tibubeneng,Badung,Bali,Polygon ZM
428,92685,Tibubiu,330.7651079,1,Kerambitan,Tibubiu,Tabanan,Bali,Polygon ZM
429,92686,Tiga,1188.802847,1,Susut,Tiga,Bangli,Bali,Polygon ZM
430,92696,Tigawasa,1517.265872,1,Banjar,Tigawasa,Buleleng,Bali,Polygon ZM
431,92697,Tihingan,281.9381683,1,Banjarangkan,Tihingan,Klungkung,Bali,Polygon ZM
432,92698,Tiying Gading,475.3222992,1,Selemadeg Barat,Tiying Gading,Tabanan,Bali,Polygon ZM
433,92699,Timpag,627.9637339,1,Kerambitan,Timpag,Tabanan,Bali,Polygon ZM
434,92700,Timuhun,263.0657556,1,Banjarangkan,Timuhun,Klungkung,Bali,Polygon ZM
435,92701,Tinga-tinga,3041.828706,1,Gerokgak,Tinga-tinga,Buleleng,Bali,Polygon ZM
436,92702,Tinggarsari,727.7584513,1,Busungbiu,Tinggarsari,Buleleng,Bali,Polygon ZM
437,92703,Tirtasari,128.709049,1,Banjar,Tirtasari,Buleleng,Bali,Polygon ZM
438,92714,Pering,650.6895406,1,Blahbatuh,Pering,Gianyar,Bali,Polygon ZM
439,92715,Peringsari,708.8829488,1,Selat,Peringsari,Karangasem,Bali,Polygon ZM
440,92716,Pertima,582.9785104,1,Karangasem,Pertima,Karangasem,Bali,Polygon ZM
441,92717,Pesagi,693.9489824,1,Penebel,Pesagi,Tabanan,Bali,Polygon ZM
442,92718,Pesinggahan,482.9779953,1,Dawan,Pesinggahan,Klungkung,Bali,Polygon ZM
443,92719,Petak,329.4814672,1,Gianyar,Petak,Gianyar,Bali,Polygon ZM
444,92720,Selat,483.9544795,1,Klungkung,Selat,Klungkung,Bali,Polygon ZM
445,92721,Selat,263.7887813,1,Susut,Selat,Bangli,Bali,Polygon ZM
446,92722,Selat,308.1022076,1,Selat,Selat,Karangasem,Bali,Polygon ZM
447,92723,Selat,2042.862737,1,Sukasada,Selat,Buleleng,Bali,Polygon ZM
448,92724,Selemadeg,595.3336079,1,Selemadeg,Selemadeg,Tabanan,Bali,Polygon ZM
449,92725,Selisihan,166.8499161,1,Klungkung,Selisihan,Klungkung,Bali,Polygon ZM
450,92726,Selulung,1058.690396,1,Kintamani,Selulung,Bangli,Bali,Polygon ZM
451,92727,Selumbung,717.9694454,1,Manggis,Selumbung,Karangasem,Bali,Polygon ZM
452,92728,Sulanyah,141.58355,1,Seririt,Sulanyah,Buleleng,Bali,Polygon ZM
453,92729,Sumberklampok,11218.06747,1,Gerokgak,Sumberklampok,Buleleng,Bali,Polygon ZM
